"filename", "language", "CSS", "JavaScript", "PHP", "Markdown", "comment", "blank", "total"
"/home/luis/DESARROLLO/panellaravel/resources/views/auth/register.blade.php", "PHP", 0, 0, 1, 0, 0, 0, 1
"/home/luis/DESARROLLO/panellaravel/resources/views/auth/reset-password.blade.php", "PHP", 0, 0, 29, 0, 0, 8, 37
"/home/luis/DESARROLLO/panellaravel/resources/views/auth/two-factor-challenge.blade.php", "PHP", 0, 0, 49, 0, 0, 10, 59
"/home/luis/DESARROLLO/panellaravel/resources/views/auth/verify-email.blade.php", "PHP", 0, 0, 38, 0, 0, 8, 46
"/home/luis/DESARROLLO/panellaravel/resources/views/auth/verify.blade.php", "PHP", 0, 0, 1, 0, 0, 0, 1
"/home/luis/DESARROLLO/panellaravel/resources/views/bienvenido.blade.php", "PHP", 0, 0, 120, 0, 1, 39, 160
"/home/luis/DESARROLLO/panellaravel/resources/views/components/action-message.blade.php", "PHP", 0, 0, 9, 0, 0, 2, 11
"/home/luis/DESARROLLO/panellaravel/resources/views/components/action-section.blade.php", "PHP", 0, 0, 11, 0, 0, 2, 13
"/home/luis/DESARROLLO/panellaravel/resources/views/components/application-logo.blade.php", "PHP", 0, 0, 5, 0, 0, 1, 6
"/home/luis/DESARROLLO/panellaravel/resources/views/components/application-mark.blade.php", "PHP", 0, 0, 4, 0, 0, 1, 5
"/home/luis/DESARROLLO/panellaravel/resources/views/components/authentication-card-logo.blade.php", "PHP", 0, 0, 6, 0, 0, 1, 7
"/home/luis/DESARROLLO/panellaravel/resources/views/components/authentication-card.blade.php", "PHP", 0, 0, 8, 0, 0, 2, 10
"/home/luis/DESARROLLO/panellaravel/resources/views/components/banner.blade.php", "PHP", 0, 0, 41, 0, 0, 4, 45
"/home/luis/DESARROLLO/panellaravel/resources/views/components/button.blade.php", "PHP", 0, 0, 3, 0, 0, 1, 4
"/home/luis/DESARROLLO/panellaravel/resources/views/components/checkbox.blade.php", "PHP", 0, 0, 1, 0, 0, 1, 2
"/home/luis/DESARROLLO/panellaravel/resources/views/components/confirmation-modal.blade.php", "PHP", 0, 0, 23, 0, 0, 5, 28
"/home/luis/DESARROLLO/panellaravel/resources/views/components/confirms-password.blade.php", "PHP", 0, 0, 38, 0, 0, 9, 47
"/home/luis/DESARROLLO/panellaravel/resources/views/components/danger-button.blade.php", "PHP", 0, 0, 3, 0, 0, 1, 4
"/home/luis/DESARROLLO/panellaravel/resources/views/components/dialog-modal.blade.php", "PHP", 0, 0, 14, 0, 0, 4, 18
"/home/luis/DESARROLLO/panellaravel/resources/views/components/dropdown-link.blade.php", "PHP", 0, 0, 1, 0, 0, 1, 2
"/home/luis/DESARROLLO/panellaravel/resources/views/components/dropdown.blade.php", "PHP", 0, 0, 43, 0, 0, 5, 48
"/home/luis/DESARROLLO/panellaravel/resources/views/components/flash-error-message.blade.php", "PHP", 0, 0, 7, 0, 0, 1, 8
"/home/luis/DESARROLLO/panellaravel/resources/views/components/flash-message.blade.php", "PHP", 0, 0, 4, 0, 0, 1, 5
"/home/luis/DESARROLLO/panellaravel/resources/views/components/form-section.blade.php", "PHP", 0, 0, 21, 0, 0, 4, 25
"/home/luis/DESARROLLO/panellaravel/resources/views/components/input-error.blade.php", "PHP", 0, 0, 4, 0, 0, 2, 6
"/home/luis/DESARROLLO/panellaravel/resources/views/components/input.blade.php", "PHP", 0, 0, 2, 0, 0, 2, 4
"/home/luis/DESARROLLO/panellaravel/resources/views/components/label.blade.php", "PHP", 0, 0, 4, 0, 0, 2, 6
"/home/luis/DESARROLLO/panellaravel/resources/views/components/modal.blade.php", "PHP", 0, 0, 39, 0, 0, 5, 44
"/home/luis/DESARROLLO/panellaravel/resources/views/components/nav-link.blade.php", "PHP", 0, 0, 9, 0, 0, 3, 12
"/home/luis/DESARROLLO/panellaravel/resources/views/components/responsive-nav-link.blade.php", "PHP", 0, 0, 9, 0, 0, 3, 12
"/home/luis/DESARROLLO/panellaravel/resources/views/components/secondary-button.blade.php", "PHP", 0, 0, 3, 0, 0, 1, 4
"/home/luis/DESARROLLO/panellaravel/resources/views/components/section-border.blade.php", "PHP", 0, 0, 5, 0, 0, 1, 6
"/home/luis/DESARROLLO/panellaravel/resources/views/components/section-title.blade.php", "PHP", 0, 0, 11, 0, 0, 3, 14
"/home/luis/DESARROLLO/panellaravel/resources/views/components/switchable-team.blade.php", "PHP", 0, 0, 17, 0, 0, 5, 22
"/home/luis/DESARROLLO/panellaravel/resources/views/components/validation-errors.blade.php", "PHP", 0, 0, 10, 0, 0, 2, 12
"/home/luis/DESARROLLO/panellaravel/resources/views/components/welcome.blade.php", "PHP", 0, 0, 82, 0, 0, 15, 97
"/home/luis/DESARROLLO/panellaravel/resources/views/createAccount.blade.php", "PHP", 0, 0, 95, 0, 0, 41, 136
"/home/luis/DESARROLLO/panellaravel/resources/views/createBuilding.blade.php", "PHP", 0, 0, 55, 0, 0, 36, 91
"/home/luis/DESARROLLO/panellaravel/resources/views/createExpense.blade.php", "PHP", 0, 0, 416, 0, 74, 156, 646
"/home/luis/DESARROLLO/panellaravel/resources/views/createInvoice.blade.php", "PHP", 0, 0, 270, 0, 15, 120, 405
"/home/luis/DESARROLLO/panellaravel/resources/views/createLandlord.blade.php", "PHP", 0, 0, 68, 0, 0, 37, 105
"/home/luis/DESARROLLO/panellaravel/resources/views/createLease.blade.php", "PHP", 0, 0, 204, 0, 6, 73, 283
"/home/luis/DESARROLLO/panellaravel/resources/views/createPayment.blade.php", "PHP", 0, 0, 282, 0, 35, 133, 450
"/home/luis/DESARROLLO/panellaravel/resources/views/createRescission.blade.php", "PHP", 0, 0, 164, 0, 5, 67, 236
"/home/luis/DESARROLLO/panellaravel/resources/views/createSubproperty.blade.php", "PHP", 0, 0, 150, 0, 7, 64, 221
"/home/luis/DESARROLLO/panellaravel/resources/views/createSupplier.blade.php", "PHP", 0, 0, 62, 0, 0, 33, 95
"/home/luis/DESARROLLO/panellaravel/resources/views/createTenant.blade.php", "PHP", 0, 0, 83, 0, 0, 28, 111
"/home/luis/DESARROLLO/panellaravel/resources/views/createproperty.blade.php", "PHP", 0, 0, 110, 0, 7, 46, 163
"/home/luis/DESARROLLO/panellaravel/resources/views/dashboard.blade.php", "PHP", 0, 0, 14, 0, 0, 2, 16
"/home/luis/DESARROLLO/panellaravel/resources/views/dropdown.blade.php", "PHP", 0, 0, 112, 0, 9, 26, 147
"/home/luis/DESARROLLO/panellaravel/resources/views/editAccount.blade.php", "PHP", 0, 0, 99, 0, 0, 43, 142
"/home/luis/DESARROLLO/panellaravel/resources/views/editBuilding.blade.php", "PHP", 0, 0, 80, 0, 0, 36, 116
"/home/luis/DESARROLLO/panellaravel/resources/views/editExpense.blade.php", "PHP", 0, 0, 383, 0, 13, 116, 512
"/home/luis/DESARROLLO/panellaravel/resources/views/editInvoice.blade.php", "PHP", 0, 0, 166, 0, 0, 68, 234
"/home/luis/DESARROLLO/panellaravel/resources/views/editLandlord.blade.php", "PHP", 0, 0, 67, 0, 0, 36, 103
"/home/luis/DESARROLLO/panellaravel/resources/views/editLease.blade.php", "PHP", 0, 0, 146, 0, 0, 43, 189
"/home/luis/DESARROLLO/panellaravel/resources/views/editPayment.blade.php", "PHP", 0, 0, 305, 0, 13, 126, 444
"/home/luis/DESARROLLO/panellaravel/resources/views/editProperty.blade.php", "PHP", 0, 0, 107, 0, 0, 37, 144
"/home/luis/DESARROLLO/panellaravel/resources/views/editSubproperty.blade.php", "PHP", 0, 0, 111, 0, 0, 41, 152
"/home/luis/DESARROLLO/panellaravel/resources/views/editSupplier.blade.php", "PHP", 0, 0, 62, 0, 0, 30, 92
"/home/luis/DESARROLLO/panellaravel/resources/views/editTenant.blade.php", "PHP", 0, 0, 151, 0, 0, 56, 207
"/home/luis/DESARROLLO/panellaravel/resources/views/emails/team-invitation.blade.php", "PHP", 0, 0, 16, 0, 0, 8, 24
"/home/luis/DESARROLLO/panellaravel/resources/views/invoicepdf.blade.php", "PHP", 0, 0, 194, 0, 3, 39, 236
"/home/luis/DESARROLLO/panellaravel/resources/views/layouts/app.blade.php", "PHP", 0, 0, 36, 0, 0, 13, 49
"/home/luis/DESARROLLO/panellaravel/resources/views/layouts/guest.blade.php", "PHP", 0, 0, 22, 0, 0, 6, 28
"/home/luis/DESARROLLO/panellaravel/resources/views/listAccounts.blade.php", "PHP", 0, 0, 56, 0, 0, 32, 88
"/home/luis/DESARROLLO/panellaravel/resources/views/listBuildings.blade.php", "PHP", 0, 0, 75, 0, 0, 46, 121
"/home/luis/DESARROLLO/panellaravel/resources/views/listCommodities.blade.php", "PHP", 0, 0, 45, 0, 0, 31, 76
"/home/luis/DESARROLLO/panellaravel/resources/views/listExpenses.blade.php", "PHP", 0, 0, 107, 0, 0, 65, 172
"/home/luis/DESARROLLO/panellaravel/resources/views/listInvoices.blade.php", "PHP", 0, 0, 120, 0, 0, 46, 166
"/home/luis/DESARROLLO/panellaravel/resources/views/listLandlords.blade.php", "PHP", 0, 0, 62, 0, 0, 28, 90
"/home/luis/DESARROLLO/panellaravel/resources/views/listLeases.blade.php", "PHP", 0, 0, 101, 0, 0, 45, 146
"/home/luis/DESARROLLO/panellaravel/resources/views/listPayments.blade.php", "PHP", 0, 0, 102, 0, 0, 52, 154
"/home/luis/DESARROLLO/panellaravel/resources/views/listSubproperties.blade.php", "PHP", 0, 0, 101, 0, 0, 32, 133
"/home/luis/DESARROLLO/panellaravel/resources/views/listSuppliers.blade.php", "PHP", 0, 0, 51, 0, 0, 26, 77
"/home/luis/DESARROLLO/panellaravel/resources/views/listTenants.blade.php", "PHP", 0, 0, 60, 0, 0, 26, 86
"/home/luis/DESARROLLO/panellaravel/resources/views/listproperties.blade.php", "PHP", 0, 0, 104, 0, 2, 33, 139
"/home/luis/DESARROLLO/panellaravel/resources/views/navigation-menu.blade.php", "PHP", 0, 0, 187, 0, 0, 33, 220
"/home/luis/DESARROLLO/panellaravel/resources/views/paymentpdf.blade.php", "PHP", 0, 0, 157, 0, 1, 38, 196
"/home/luis/DESARROLLO/panellaravel/resources/views/policy.blade.php", "PHP", 0, 0, 12, 0, 0, 2, 14
"/home/luis/DESARROLLO/panellaravel/resources/views/postproperty.blade.php", "PHP", 0, 0, 20, 0, 0, 8, 28
"/home/luis/DESARROLLO/panellaravel/resources/views/profile/delete-user-form.blade.php", "PHP", 0, 0, 44, 0, 0, 10, 54
"/home/luis/DESARROLLO/panellaravel/resources/views/profile/logout-other-browser-sessions-form.blade.php", "PHP", 0, 0, 84, 0, 0, 15, 99
"/home/luis/DESARROLLO/panellaravel/resources/views/profile/show.blade.php", "PHP", 0, 0, 36, 0, 0, 10, 46
"/home/luis/DESARROLLO/panellaravel/resources/views/profile/two-factor-authentication-form.blade.php", "PHP", 0, 0, 110, 0, 0, 15, 125
"/home/luis/DESARROLLO/panellaravel/resources/views/profile/update-password-form.blade.php", "PHP", 0, 0, 39, 0, 0, 11, 50
"/home/luis/DESARROLLO/panellaravel/resources/views/profile/update-profile-information-form.blade.php", "PHP", 0, 0, 86, 0, 0, 17, 103
"/home/luis/DESARROLLO/panellaravel/resources/views/renewLease.blade.php", "PHP", 0, 0, 202, 0, 5, 61, 268
"/home/luis/DESARROLLO/panellaravel/resources/views/searchBudgetMovements.blade.php", "PHP", 0, 0, 37, 0, 1, 17, 55
"/home/luis/DESARROLLO/panellaravel/resources/views/searchMovements.blade.php", "PHP", 0, 0, 37, 0, 1, 17, 55
"/home/luis/DESARROLLO/panellaravel/resources/views/showAccount.blade.php", "PHP", 0, 0, 102, 0, 0, 54, 156
"/home/luis/DESARROLLO/panellaravel/resources/views/showAccountMovements.blade.php", "PHP", 0, 0, 193, 0, 0, 60, 253
"/home/luis/DESARROLLO/panellaravel/resources/views/showBuilding.blade.php", "PHP", 0, 0, 84, 0, 0, 42, 126
"/home/luis/DESARROLLO/panellaravel/resources/views/showBuildingMaintenanceExpenses.blade.php", "PHP", 0, 0, 138, 0, 0, 44, 182
"/home/luis/DESARROLLO/panellaravel/resources/views/showBuildingProperties.blade.php", "PHP", 0, 0, 95, 0, 0, 26, 121
"/home/luis/DESARROLLO/panellaravel/resources/views/showExpense.blade.php", "PHP", 0, 0, 198, 0, 0, 61, 259
"/home/luis/DESARROLLO/panellaravel/resources/views/showInvoice.blade.php", "PHP", 0, 0, 406, 0, 3, 101, 510
"/home/luis/DESARROLLO/panellaravel/resources/views/showLandlord.blade.php", "PHP", 0, 0, 77, 0, 0, 35, 112
"/home/luis/DESARROLLO/panellaravel/resources/views/showLandlordItems.blade.php", "PHP", 0, 0, 177, 0, 0, 38, 215
"/home/luis/DESARROLLO/panellaravel/resources/views/showLease.blade.php", "PHP", 0, 0, 296, 0, 2, 89, 387
"/home/luis/DESARROLLO/panellaravel/resources/views/showLeaseMovements.blade.php", "PHP", 0, 0, 222, 0, 0, 32, 254
"/home/luis/DESARROLLO/panellaravel/resources/views/showPayment.blade.php", "PHP", 0, 0, 215, 0, 0, 47, 262
"/home/luis/DESARROLLO/panellaravel/resources/views/showProfile.blade.php", "PHP", 0, 0, 50, 0, 0, 19, 69
"/home/luis/DESARROLLO/panellaravel/resources/views/showProperty.blade.php", "PHP", 0, 0, 167, 0, 0, 45, 212
"/home/luis/DESARROLLO/panellaravel/resources/views/showPropertySubproperties.blade.php", "PHP", 0, 0, 84, 0, 0, 28, 112
"/home/luis/DESARROLLO/panellaravel/resources/views/showSubproperty.blade.php", "PHP", 0, 0, 147, 0, 0, 42, 189
"/home/luis/DESARROLLO/panellaravel/resources/views/showSupplier.blade.php", "PHP", 0, 0, 81, 0, 0, 40, 121
"/home/luis/DESARROLLO/panellaravel/resources/views/showSupplierPayments.blade.php", "PHP", 0, 0, 117, 0, 1, 58, 176
"/home/luis/DESARROLLO/panellaravel/resources/views/showTenant.blade.php", "PHP", 0, 0, 149, 0, 0, 34, 183
"/home/luis/DESARROLLO/panellaravel/resources/views/showpanel.blade.php", "PHP", 0, 0, 17, 0, 0, 6, 23
"/home/luis/DESARROLLO/panellaravel/resources/views/terms.blade.php", "PHP", 0, 0, 12, 0, 0, 2, 14
"/home/luis/DESARROLLO/panellaravel/resources/views/welcome.blade.php", "PHP", 0, 0, 111, 0, 0, 23, 134
"Total", "-", 6, 4, 7334, 4, -272, 2330, 9406
